42389	43289	43894	93487
43892	42792	90082	54367
47895	32613	54239	12932
74829	84939	38098	83012
32819	93484	31038	31823
32104	48042	42052	42904
42843	95323	31290	12332
43290	84327	91302	92128
93030	34093	93289	38101
30239	83842	83290	93282
48092	98234	83392	93341
38040	38495	84293	80938
30240	31040	83200	92442
38103	38210	98201	39092
32019	83202	89380	82894
44804	42489	83223	74923
84353	45492	89580	85419
73489	84948	89748	71992
79434	81289	84230	81204
13998	94823	71493	74372
23943	74889	47292	71829
21949	23132	32739	29128
21347	30473	82378	83191
21912	43890	79378	12481
49843	74984	17219	88129
23488	44898	42879	73478
34754	27239	30349	48758
24795	44895	32882	47923
34893	89732	72978	78873
23279	74497	78787	72989
49853	43389	34382	34843
42384	42592	00382	54902
47852	32913	50239	12732
74823	84939	31098	20012
32829	92984	31038	42023
34954	48242	45052	48204
42800	95823	30290	90832
43220	84890	91302	92128
93030	34093	93289	38001
32839	80842	83290	99102
48092	99034	82392	93232
32040	38495	89003	83938
38240	31040	83380	93442
38103	30210	90201	39092
31019	83402	80380	83894
42894	42489	80123	74923
84053	45732	89540	85419
71489	84348	89448	71922
73034	81389	84930	81204
17998	94823	79493	74972
23943	74889	47282	71829
21749	23132	32739	21728
28947	31473	82178	83191
21912	43890	72878	17481
42843	74984	37819	89429
23788	43898	42379	73288
34254	27839	34749	48348
24795	43275	32782	44923
34893	89732	72978	79873
49853	43389	43892	93443
43384	42792	90382	67902
47852	32613	54339	12932
74823	84939	38098	83412
39029	93984	30038	31023
32104	48042	35052	42904
42800	95323	30290	12332
43220	87890	90302	92128
93230	39093	93289	38901
32239	80842	90390	92802
43092	39034	83392	93241
38040	38095	84203	83938
38240	39040	83380	92442
38103	90210	98401	32092
31019	80402	80380	84894
42804	42053	83123	74923
89053	45492	89540	85819
71489	84948	89438	71392
73434	12389	84990	81204
12998	97823	79493	74372
23943	73989	47192	71829
28949	27932	32239	21128
21947	30473	82378	81191
21312	43890	72878	12481
49843	74984	37219	89229
22488	44898	78879	73278
34754	29239	38349	48358
24795	44895	35782	47923
34793	89732	72978	78873
72239	84797	29780	87928
40738	86328	77497	73429
