43902	54289	53489	93200
43242	89038	43290	42330
42156	43293	32904	39024
34250	67868	42893	49024
04432	43728	48053	40523
54346	73849	35291	04323
42356	78924	38901	90142
34266	89023	83101	93200
24902	80329	34829	42890
43290	31032	48290	42804
85430	37810	53930	90543
53534	32940	49052	85490
58493	90324	59302	35903
53095	48239	49032	49530
89653	89094	98532	43902
54090	90904	42390	17894
95049	74829	04385	48921
78302	89034	89056	85490
59090	48903	59032	49021
90903	84903	59032	49063
54389	90439	58902	95382
43890	94039	85479	42390
42839	94039	94032	39021
32930	90490	49201	58301
53945	21903	95739	75893
